request_id,arrival_time_ms,prompt_len,output_len,generated_tokens,prefill_start_time_ms,prefill_end_time_ms,kv_transfer_start_time_ms,kv_transfer_end_time_ms,first_token_time_ms,completion_time_ms,ttft_ms,tpot_ms,e2e_ms,status,prefill_replica,decode_replica
req_63,66981.81804932431,512,128,128,66981.81804932431,67137.64818265765,67137.64818265765,67147.98818265765,67183.22964286957,70313.49677620291,201.41159354525735,24.64777270341214,3331.6787268785993,completed,0,0
req_64,67128.49072024882,512,128,128,67137.64818265765,67293.47831599099,67293.47831599099,67303.81831599098,67330.67344286958,70461.1594762029,202.18272262075334,24.64949632545921,3332.6687559540733,completed,0,0
req_65,68471.4614825937,512,128,128,68471.4614825937,68627.29161592704,68627.29161592704,68637.63161592704,68675.12717620289,71828.39360953627,203.66569360918947,24.828869553806154,3356.932126942571,completed,0,0
req_66,69662.17128163333,512,128,128,69662.17128163333,69818.00141496667,69818.00141496667,69828.34141496666,69867.25257620293,73040.88810953627,205.08129456959432,24.98925616797912,3378.716827902943,completed,0,0
req_67,69994.15719518153,512,128,128,69994.15719518153,70149.98732851486,70149.98732851486,70160.32732851486,70189.63180953624,73369.95894286962,195.47461435470905,25.041945931758924,3375.8017476880923,completed,0,0
req_68,70032.98425581519,512,128,128,70149.98732851486,70305.8174618482,70305.8174618482,70316.1574618482,70362.62784286957,73544.49067620294,329.64358705437917,25.05403805774312,3511.5064203877555,completed,0,0
req_69,70317.55065772167,512,128,128,70317.55065772167,70473.38079105501,70473.38079105501,70483.720791055,70509.99004286957,73692.56487620295,192.43938514789625,25.059644356955715,3375.014218481272,completed,0,0
req_70,70723.92772356313,512,128,128,70723.92772356313,70879.75785689647,70879.75785689647,70890.09785689646,70927.22370953625,74115.52984286961,203.29598597311997,25.10477270341229,3391.6021193064807,completed,0,0
req_71,71723.90470165623,512,128,128,71723.90470165623,71879.73483498956,71879.73483498956,71890.07483498956,71927.6519428696,75110.6099762029,203.7472412133793,25.062661679789763,3386.705274546679,completed,0,0
req_72,72514.77221869711,512,128,128,72514.77221869711,72670.60235203044,72670.60235203044,72680.94235203044,72708.21777620292,75879.30260953621,193.44555750580912,24.969171916010218,3364.530390839107,completed,0,0
req_73,74219.43902312478,512,128,128,74219.43902312478,74375.26915645812,74375.26915645812,74385.60915645811,74416.3556428696,77581.70637620281,196.91661974482122,24.92402152230873,3362.2673530780303,completed,0,0
req_74,74840.68768106504,512,128,128,74840.68768106504,74996.51781439838,74996.51781439838,75006.85781439838,75036.9147762029,78208.99180953612,196.22709513785958,24.97698451443479,3368.304128471078,completed,0,0
req_75,77006.2283482993,512,128,128,77006.2283482993,77162.05848163263,77162.05848163263,77172.39848163263,77208.91287620284,80644.96740953611,202.68452790354786,27.055547506561183,3638.739061236818,completed,0,0
req_76,79847.92423518671,512,128,128,79847.92423518671,80003.75436852005,80003.75436852005,80014.09436852005,80052.81570953611,83187.81624286949,204.89147434939514,24.685043569554196,3339.892007682778,completed,0,0
req_77,80025.12034806488,512,128,128,80025.12034806488,80180.95048139822,80180.95048139822,80191.29048139822,80228.04484286944,83361.11177620282,202.92449480455252,24.669818372703773,3335.9914281379315,completed,0,0
req_78,80085.74861174618,512,128,128,80180.95048139822,80336.78061473156,80336.78061473156,80347.12061473155,80376.14324286945,83510.70587620282,290.3946311232721,24.681595538057984,3424.957264456636,completed,0,0
req_79,80805.41943083939,512,128,128,80805.41943083939,80961.24956417273,80961.24956417273,80971.58956417273,81014.73810953613,84163.41264286949,209.3186786967417,24.792712860892543,3357.9932120300946,completed,0,0
req_80,81537.0367879762,512,128,128,81537.0367879762,81692.86692130954,81692.86692130954,81703.20692130954,81747.88640953612,84975.28424286951,210.84962155991525,25.412581364829876,3438.2474548933096,completed,0,0
