request_id,source_replica_id,lane_id,mode,size_mb,queued_time_ms,start_time_ms,end_time_ms,duration_ms
req_137,0,0,pcie,128.0,0.0,135552.0797667839,135562.4197667839,10.34
req_138,0,0,pcie,128.0,0.0,136632.55489333253,136642.89489333253,10.34
req_139,0,0,pcie,128.0,0.0,138974.9245012963,138985.2645012963,10.34
req_140,0,0,pcie,128.0,0.0,140020.50919638327,140030.84919638326,10.34
req_141,0,0,pcie,128.0,0.0,140304.9830342874,140315.3230342874,10.34
req_142,0,0,pcie,128.0,0.0,140460.81316762074,140471.15316762074,10.34
req_143,0,0,pcie,128.0,0.0,143626.84869635195,143637.18869635195,10.34
req_144,0,0,pcie,128.0,0.0,147757.12684688406,147767.46684688405,10.34
req_145,0,0,pcie,128.0,0.0,148165.950925582,148176.290925582,10.34
req_146,0,0,pcie,128.0,0.0,150534.4536181862,150544.7936181862,10.34
req_147,0,0,pcie,128.0,0.0,152219.2811867293,152229.6211867293,10.34
req_148,0,0,pcie,128.0,0.0,152375.11132006263,152385.45132006262,10.34
req_149,0,0,pcie,128.0,0.0,153888.11410602287,153898.45410602287,10.34
req_150,0,0,pcie,128.0,0.0,154719.69385915392,154730.03385915392,10.34
req_151,0,0,pcie,128.0,0.0,156087.07949376488,156097.41949376487,10.34
req_152,0,0,pcie,128.0,0.0,157469.1144932539,157479.4544932539,10.34
req_153,0,0,pcie,128.0,0.0,161890.400517126,161900.740517126,10.34
req_154,0,0,pcie,128.0,0.0,162050.57838059973,162060.91838059973,10.34
req_155,0,0,pcie,128.0,0.0,162208.9359489722,162219.2759489722,10.34
req_156,0,0,pcie,128.0,0.0,162819.86311670722,162830.2031167072,10.34
req_157,0,0,pcie,128.0,0.0,164145.0176485912,164155.3576485912,10.34
req_158,0,0,pcie,128.0,0.0,164671.0358557633,164681.3758557633,10.34
req_159,0,0,pcie,128.0,0.0,165450.66456574708,165461.00456574708,10.34
req_160,0,0,pcie,128.0,0.0,166550.8853144428,166561.2253144428,10.34
req_161,0,0,pcie,128.0,0.0,166706.71544777614,166717.05544777613,10.34
req_162,0,0,pcie,128.0,0.0,166899.29439592894,166909.63439592894,10.34
req_163,0,0,pcie,128.0,0.0,167298.45588449703,167308.79588449703,10.34
req_164,0,0,pcie,128.0,0.0,168366.4098066158,168376.7498066158,10.34
req_165,0,0,pcie,128.0,0.0,169292.5302502124,169302.8702502124,10.34
req_166,0,0,pcie,128.0,0.0,169673.40761518784,169683.74761518784,10.34
req_167,0,0,pcie,128.0,0.0,170491.22630033898,170501.56630033898,10.34
req_168,0,0,pcie,128.0,0.0,171811.20786951386,171821.54786951386,10.34
req_169,0,0,pcie,128.0,0.0,172933.92657779186,172944.26657779186,10.34
req_170,0,0,pcie,128.0,0.0,175330.6786030437,175341.0186030437,10.34
req_171,0,0,pcie,128.0,0.0,176222.64044693846,176232.98044693845,10.34
req_172,0,0,pcie,128.0,0.0,176693.0787143354,176703.4187143354,10.34
req_173,0,0,pcie,128.0,0.0,179418.96872561227,179429.30872561227,10.34
req_174,0,0,pcie,128.0,0.0,179574.7988589456,179585.1388589456,10.34
req_175,0,0,pcie,128.0,0.0,182076.06879398265,182086.40879398264,10.34
req_176,0,0,pcie,128.0,0.0,183074.85810024999,183085.19810024998,10.34
req_177,0,0,pcie,128.0,0.0,183635.54573322914,183645.88573322914,10.34
req_178,0,0,pcie,128.0,0.0,185198.58901138091,185208.9290113809,10.34
req_179,0,0,pcie,128.0,0.0,185378.63821155412,185388.97821155412,10.34
req_180,0,0,pcie,128.0,0.0,187569.98223978843,187580.32223978842,10.34
req_181,0,0,pcie,128.0,0.0,187877.92901237766,187888.26901237766,10.34
req_182,0,0,pcie,128.0,0.0,188138.12336209146,188148.46336209145,10.34
req_183,0,0,pcie,128.0,0.0,190380.91349424524,190391.25349424523,10.34
req_184,0,0,pcie,128.0,0.0,190939.5804686226,190949.9204686226,10.34
req_185,0,0,pcie,128.0,0.0,191405.40367867274,191415.74367867273,10.34
req_186,0,0,pcie,128.0,0.0,192994.19726533527,193004.53726533527,10.34
req_187,0,0,pcie,128.0,0.0,194072.16091531864,194082.50091531864,10.34
req_188,0,0,pcie,128.0,0.0,194527.87342508681,194538.2134250868,10.34
req_189,0,0,pcie,128.0,0.0,197656.81176684218,197667.15176684217,10.34
req_190,0,0,pcie,128.0,0.0,198773.28079840893,198783.62079840893,10.34
req_191,0,0,pcie,128.0,0.0,199652.43796089993,199662.77796089993,10.34
req_192,0,0,pcie,128.0,0.0,200228.64277576917,200238.98277576917,10.34
req_193,0,0,pcie,128.0,0.0,200550.73021330487,200561.07021330486,10.34
req_194,0,0,pcie,128.0,0.0,202964.3767224771,202974.7167224771,10.34
req_195,0,0,pcie,128.0,0.0,204737.90593960596,204748.24593960596,10.34
req_196,0,0,pcie,128.0,0.0,205138.64892704622,205148.98892704622,10.34
req_197,0,0,pcie,128.0,0.0,205461.18360936875,205471.52360936874,10.34
req_198,0,0,pcie,128.0,0.0,205801.68905344026,205812.02905344026,10.34
req_199,0,0,pcie,128.0,0.0,207161.18887533256,207171.52887533256,10.34
req_200,0,0,pcie,128.0,0.0,207928.77642446363,207939.11642446363,10.34
